epoch,test/accuracy,test/accuracytop5,general/checkpoint_saved
826,57.96%,79.61%,0.0
827,58.63%,79.47%,0.0
828,58.27%,79.88%,0.0
829,56.62%,78.25%,0.0
830,57.70%,78.99%,0.0
831,57.47%,79.18%,0.0
832,58.18%,79.90%,0.0
833,57.24%,79.27%,0.0
834,58.53%,79.52%,0.0
835,57.73%,79.28%,0.0
836,58.20%,79.89%,0.0
837,58.14%,79.21%,0.0
838,58.49%,80.40%,0.0
839,57.54%,79.06%,0.0
840,56.80%,79.28%,0.0
841,56.62%,78.43%,0.0
842,57.52%,78.84%,0.0
843,58.26%,80.45%,0.0
844,57.77%,79.06%,0.0
845,56.78%,78.84%,0.0
846,57.57%,78.73%,0.0
847,56.72%,78.76%,0.0
848,57.57%,79.22%,0.0
849,57.24%,79.41%,0.0
850,57.93%,79.67%,0.0
851,58.41%,79.24%,0.0
852,56.87%,78.74%,0.0
853,57.76%,79.55%,0.0
854,57.54%,78.95%,0.0
855,57.00%,78.25%,0.0
856,58.38%,79.60%,0.0
857,58.12%,79.70%,0.0
858,57.53%,79.79%,0.0
859,58.06%,79.22%,0.0
860,57.24%,78.96%,0.0
861,57.18%,79.79%,0.0
