epoch,test/accuracy_mean,test/accuracy_0,test/accuracy_1,test/accuracy,test/accuracytop5,general/checkpoint_saved
264,97.16%,97.14%,97.18%,97.46%,99.94%,0
265,97.25%,97.27%,97.22%,97.52%,99.97%,0
266,97.13%,97.14%,97.12%,97.43%,99.95%,0
267,97.07%,97.07%,97.07%,97.41%,99.95%,0
268,97.20%,97.23%,97.17%,97.45%,99.96%,0
269,97.13%,97.09%,97.17%,97.50%,99.98%,0
270,97.18%,97.16%,97.20%,97.46%,99.97%,0
271,97.14%,97.12%,97.16%,97.41%,99.96%,0
272,97.20%,97.15%,97.24%,97.47%,99.97%,0
273,97.12%,96.96%,97.28%,97.41%,99.98%,0
274,97.17%,97.14%,97.21%,97.48%,99.96%,0
275,97.19%,97.12%,97.25%,97.44%,99.93%,0
276,97.19%,97.20%,97.17%,97.39%,99.98%,0
277,97.18%,97.16%,97.20%,97.43%,99.97%,0
278,97.23%,97.15%,97.31%,97.43%,99.96%,0
279,97.15%,97.07%,97.23%,97.34%,99.97%,0
280,97.17%,97.13%,97.21%,97.41%,99.97%,0
281,97.17%,97.16%,97.19%,97.44%,99.98%,0
282,97.17%,97.16%,97.17%,97.44%,99.97%,0
283,97.17%,97.13%,97.20%,97.45%,99.96%,0
284,97.18%,97.16%,97.20%,97.46%,99.98%,0
285,97.17%,97.12%,97.23%,97.46%,99.97%,0
286,97.14%,97.06%,97.22%,97.47%,99.96%,0
287,97.22%,97.21%,97.23%,97.47%,99.97%,0
288,97.15%,97.10%,97.21%,97.40%,99.99%,0
289,97.22%,97.17%,97.27%,97.47%,99.96%,0
290,97.18%,97.14%,97.22%,97.52%,99.97%,0
291,97.11%,97.04%,97.19%,97.39%,99.98%,0
292,97.15%,97.06%,97.24%,97.48%,99.97%,0
293,97.12%,97.01%,97.23%,97.49%,99.95%,0
294,97.16%,97.06%,97.26%,97.44%,99.97%,0
295,97.19%,97.05%,97.33%,97.52%,99.97%,0
296,97.23%,97.10%,97.35%,97.41%,99.96%,0
297,97.23%,97.17%,97.28%,97.48%,99.96%,0
298,97.20%,97.09%,97.32%,97.49%,99.98%,0
299,97.16%,97.09%,97.23%,97.47%,99.96%,0
300,97.16%,97.15%,97.16%,97.48%,99.97%,0
